,Population,Magnitude,Depth,Distance_from_the_epicenter,Secondary effects,Architechture,destructiveness,City
504,Unpopulated,53,354,7427,No,Bad,Low,Buford
505,Populated,79,177,4568,No,Bad,High,Philadelphia
506,Populated ,57,452,3814,No,Good ,Low,Buford
507,Unpopulated,69,14,7930,No,Bad,High,Buford
508,Populated ,31,513,9296,No,Good,Low,Buford
509,Populated ,47,637,8700,No,Good,Low,Buford
510,Unpopulated,43,52,5758,No,Good,Low,Buford
511,Populated ,72,686,6182,No,Good,High,Buford
512,Unpopulated,74,377,5324,Yes,Bad,High,Buford
513,Populated ,41,62,9997,No,Good,Low,Buford
514,Unpopulated,68,536,3685,yes,Bad,Low,Buford
515,Populated,48,198,6681,No,Good,Low,Philadelphia
516,Unpopulated,37,244,7702,No,Bad,Low,Buford
517,Populated,36,271,1027,No,Bad,Low,Philadelphia
518,Populated ,49,225,3615,No,Good ,Low,Buford
519,Unpopulated,47,476,8085,No,Bad,Low,Buford
520,Populated ,38,241,9918,No,Good,Low,Buford
521,Populated ,75,315,2719,No,Good,High,Buford
522,Unpopulated,60,255,8848,No,Good,Low,Buford
523,Populated ,63,596,1703,No,Good,Low,Buford
524,Unpopulated,71,254,9947,No,Bad,High,Buford
525,Populated ,64,174,4919,Yes,Good,Low,Buford
526,Unpopulated,73,547,6754,No,Bad,High,Buford
527,Populated,46,524,3896,yes,Good,Low,Philadelphia
528,Unpopulated,63,164,631,No,Bad,Low,Buford
529,Populated,43,175,3645,No,Bad,Low,Philadelphia
530,Populated ,51,149,5179,No,Good ,Low,Buford
531,Unpopulated,63,227,2516,No,Bad,Low,Buford
532,Populated ,69,63,6807,No,Good,High,Buford
533,Populated ,46,675,8178,No,Good,Low,Buford
534,Unpopulated,70,194,2932,No,Good,High,Buford
535,Populated ,62,520,8144,No,Good,Low,Buford
536,Unpopulated,68,494,2588,No,Bad,Low,Buford
537,Populated ,42,134,739,No,Good,Low,Buford
538,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
539,Populated,80,674,8501,No,Good,High,Philadelphia
540,Unpopulated,59,143,5416,yes,Bad,Low,Buford
541,Populated,33,698,4598,No,Bad,Low,Philadelphia
542,Populated ,80,152,8178,No,Good ,High,Buford
543,Unpopulated,32,145,8296,No,Bad,Low,Buford
544,Populated ,31,465,5759,No,Good,Low,Buford
545,Populated ,68,16,1085,No,Good,Low,Buford
546,Unpopulated,75,543,4713,No,Good,High,Buford
547,Populated ,44,528,5697,No,Good,Low,Buford
548,Unpopulated,73,608,1601,No,Bad,High,Buford
549,Populated ,42,269,545,No,Good,Low,Buford
550,Unpopulated,50,697,2428,No,Bad,Low,Buford
551,Populated,48,63,1878,Yes,Good,Low,Philadelphia
552,Unpopulated,36,450,779,No,Bad,Low,Buford
553,Populated,59,521,7121,yes,Bad,Low,Philadelphia
554,Populated ,80,691,4146,No,Good ,High,Buford
555,Unpopulated,38,352,5413,No,Bad,Low,Buford
556,Populated ,76,306,7996,No,Good,High,Buford
557,Populated ,33,636,6516,No,Good,Low,Buford
558,Unpopulated,31,552,2662,No,Good,Low,Buford
559,Populated ,54,611,4707,No,Good,Low,Buford
560,Unpopulated,43,224,8138,No,Bad,Low,Buford
561,Populated ,36,389,4622,No,Good,Low,Buford
562,Unpopulated,64,671,9158,No,Bad,Low,Buford
563,Populated,34,36,1859,No,Good,Low,Philadelphia
564,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
565,Populated,55,485,667,No,Bad,Low,Philadelphia
566,Populated ,77,627,5985,yes,Good ,High,Buford
567,Unpopulated,41,579,9072,No,Bad,Low,Buford
568,Populated ,74,506,1158,No,Good,High,Buford
569,Populated ,48,557,828,No,Good,Low,Buford
570,Unpopulated,69,185,5532,No,Good,High,Buford
571,Populated ,49,333,6343,No,Good,Low,Buford
572,Unpopulated,34,147,9613,No,Bad,Low,Buford
573,Populated ,42,680,2945,No,Good,Low,Buford
574,Unpopulated,71,72,4847,No,Bad,High,Buford
575,Populated,36,71,1037,No,Good,Low,Philadelphia
576,Unpopulated,54,338,900,No,Bad,Low,Buford
577,Populated,80,90,2282,Yes,Bad,High,Philadelphia
578,Populated ,46,358,340,No,Good ,Low,Buford
579,Unpopulated,36,371,7270,yes,Bad,Low,Buford
580,Populated ,65,236,8885,No,Good,Low,Buford
581,Populated ,68,263,8442,No,Good,Low,Buford
582,Unpopulated,57,61,2372,No,Good,Low,Buford
583,Populated ,57,674,3302,No,Good,Low,Buford
584,Unpopulated,49,559,8583,No,Bad,Low,Buford
585,Populated ,64,260,7887,No,Good,Low,Buford
586,Unpopulated,44,315,8349,No,Bad,Low,Buford
587,Populated,78,267,9813,No,Good,High,Philadelphia
588,Unpopulated,58,57,1342,No,Bad,Low,Buford
589,Populated,79,520,6497,No,Bad,High,Philadelphia
590,Populated ,73,577,9347,Yes,Good ,High,Buford
591,Unpopulated,33,484,7781,No,Bad,Low,Buford
592,Populated ,40,174,7715,yes,Good,Low,Buford
593,Populated ,61,8,6409,No,Good,Low,Buford
594,Unpopulated,41,600,5072,No,Good,Low,Buford
595,Populated ,53,60,3393,No,Good,Low,Buford
596,Unpopulated,44,548,6087,No,Bad,Low,Buford
597,Populated ,70,427,3681,No,Good ,High,Buford
598,Unpopulated,31,515,5233,No,Bad,Low,Buford
599,Populated ,58,565,2099,No,Good,Low,Buford
600,Populated ,68,340,8626,No,Good,Low,Buford
601,Unpopulated,67,210,6387,No,Good,Low,Buford
602,Populated ,35,284,2126,No,Good,Low,Buford
603,Unpopulated,75,98,211,No,Bad,High,Buford
604,Populated ,64,237,9295,No,Good,Low,Buford
605,Unpopulated,37,218,9194,No,Bad,Low,Buford
606,Populated,70,650,6063,No,Good,High,Philadelphia
607,Unpopulated,58,198,615,Yes,Bad,Low,Buford
608,Populated,80,171,7722,No,Bad,High,Philadelphia
609,Populated ,36,324,6365,yes,Good ,Low,Buford
610,Unpopulated,80,387,2526,No,Bad,High,Buford
611,Populated ,62,662,7849,No,Good,Low,Buford
612,Populated ,39,589,5360,No,Good,Low,Buford
613,Unpopulated,53,567,8058,No,Good,Low,Buford
614,Populated ,32,574,37,No,Good,Low,Buford
615,Unpopulated,42,84,3774,No,Bad,Low,Buford
616,Populated ,31,698,5842,No,Good,Low,Buford
617,Unpopulated,57,689,8692,No,Bad,Low,Buford
618,Populated,49,608,4827,No,Good,Low,Philadelphia
619,Unpopulated,38,512,7858,No,Bad,Low,Buford
620,Populated,67,18,23,Yes,Bad,Low,Philadelphia
621,Populated ,30,499,5267,No,Good ,Low,Buford
622,Unpopulated,30,410,6614,yes,Bad,Low,Buford
623,Populated ,57,699,7789,No,Good,Low,Buford
624,Populated ,44,345,9475,No,Good,Low,Buford
625,Unpopulated,33,637,3895,No,Good,Low,Buford
626,Populated ,35,332,6512,No,Good,Low,Buford
627,Unpopulated,33,60,7218,No,Bad,Low,Buford
628,Populated ,50,107,9856,No,Good,Low,Buford
629,Unpopulated,73,359,1346,No,Bad,High,Buford
630,Populated,63,516,751,No,Good,Low,Philadelphia
631,Unpopulated,36,443,7647,No,Bad,Low,Buford
632,Populated,67,594,9833,No,Bad,Low,Philadelphia
633,Populated ,45,620,7898,Yes,Good ,Low,Buford
634,Unpopulated,33,10,5897,No,Bad,Low,Buford
635,Populated ,52,38,5437,yes,Good,Low,Buford
636,Populated ,43,310,1038,No,Good,Low,Buford
637,Unpopulated,42,526,3572,No,Good,Low,Buford
638,Populated ,79,195,3859,No,Good,High,Buford
639,Unpopulated,54,34,8049,No,Bad,Low,Buford
640,Populated ,69,90,8772,No,Good,High,Buford
641,Unpopulated,39,60,3385,No,Bad,Low,Buford
642,Populated,41,552,9992,No,Good,Low,Philadelphia
643,Unpopulated,58,567,1891,No,Bad,Low,Buford
644,Populated,80,87,508,No,Bad,High,Philadelphia
645,Populated ,69,580,280,No,Good ,High,Buford
646,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
647,Populated ,51,223,559,No,Good,Low,Buford
648,Populated ,64,415,9551,yes,Good,Low,Buford
649,Unpopulated,30,148,7248,No,Good,Low,Buford
650,Populated ,36,429,5972,No,Good,Low,Buford
651,Unpopulated,56,64,9202,No,Bad,Low,Buford
652,Populated ,55,30,3894,No,Good,Low,Buford
653,Unpopulated,60,432,2793,No,Bad,Low,Buford
654,Populated,77,205,4113,No,Good,High,Philadelphia
655,Unpopulated,41,486,7861,No,Bad,Low,Buford
656,Populated,66,117,4364,No,Bad,Low,Philadelphia
657,Populated ,58,631,5966,No,Good ,Low,Buford
658,Unpopulated,60,607,5097,No,Bad,Low,Buford
659,Populated ,54,456,5161,Yes,Good,Low,Buford
660,Populated ,49,420,6938,No,Good,Low,Buford
661,Unpopulated,38,188,8417,yes,Good,Low,Buford
662,Populated ,60,679,9374,No,Good,Low,Buford
663,Unpopulated,38,159,737,No,Bad,Low,Buford
664,Populated ,77,311,4343,No,Good,High,Buford
665,Unpopulated,63,43,8312,No,Bad,Low,Buford
666,Populated,55,661,7247,No,Good,Low,Philadelphia
667,Unpopulated,65,348,1437,No,Bad,Low,Buford
668,Populated,64,414,4090,No,Bad,Low,Philadelphia
669,Populated ,33,334,6227,No,Good ,Low,Buford
670,Unpopulated,75,259,3924,No,Bad,High,Buford
671,Populated ,51,426,7409,No,Good,Low,Buford
672,Populated ,34,316,3769,Yes,Good,Low,Buford
673,Unpopulated,31,175,1688,No,Good,Low,Buford
674,Populated ,53,184,1993,yes,Good,Low,Buford
675,Unpopulated,51,641,1414,No,Bad,Low,Buford
676,Populated ,40,11,4643,No,Good,Low,Buford
677,Unpopulated,78,600,2409,No,Bad,High,Buford
678,Populated,62,51,8729,No,Good,Low,Philadelphia
679,Unpopulated,30,187,8174,No,Bad,Low,Buford
680,Populated,75,342,3712,No,Bad,High,Philadelphia
681,Populated ,80,43,693,No,Good ,High,Buford
682,Unpopulated,30,567,6485,No,Bad,Low,Buford
683,Populated ,33,400,9471,No,Good,Low,Buford
684,Populated ,66,425,258,No,Good,Low,Buford
685,Unpopulated,50,430,7878,Yes,Good,Low,Buford
686,Populated ,54,355,6290,No,Good,Low,Buford
687,Unpopulated,36,44,291,yes,Bad,Low,Buford
688,Populated ,37,484,6271,No,Good,Low,Buford
689,Unpopulated,65,286,8617,No,Bad,Low,Buford
690,Populated,65,519,8192,No,Good,Low,Philadelphia
691,Unpopulated,35,664,38,No,Bad,Low,Buford
692,Populated,67,488,10,No,Bad,Low,Philadelphia
693,Populated ,57,639,4535,No,Good ,Low,Buford
694,Unpopulated,56,521,1780,No,Bad,Low,Buford
695,Populated ,30,532,1284,No,Good,Low,Buford
696,Populated ,56,678,5472,No,Good,Low,Buford
697,Unpopulated,80,680,8662,No,Good,High,Buford
698,Populated ,75,115,3812,Yes,Good,High,Buford
699,Unpopulated,76,265,3652,No,Bad,High,Buford
700,Populated ,53,153,4951,yes,Good,Low,Buford
701,Unpopulated,69,364,6825,No,Bad,High,Buford
702,Populated,41,494,2745,No,Good,Low,Philadelphia
703,Unpopulated,53,354,7427,No,Bad,Low,Buford
704,Populated,79,177,4568,No,Bad,High,Philadelphia
705,Populated ,57,452,3814,No,Good ,Low,Buford
706,Unpopulated,69,14,7930,No,Bad,High,Buford
707,Populated ,31,513,9296,No,Good,Low,Buford
708,Populated ,47,637,8700,No,Good,Low,Buford
709,Unpopulated,43,52,5758,No,Good,Low,Buford
710,Populated ,72,686,6182,No,Good,High,Buford
711,Unpopulated,74,377,5324,Yes,Bad,High,Buford
712,Populated ,41,62,9997,No,Good,Low,Buford
713,Unpopulated,68,536,3685,yes,Bad,Low,Buford
714,Populated,48,198,6681,No,Good,Low,Philadelphia
715,Unpopulated,37,244,7702,No,Bad,Low,Buford
716,Populated,36,271,1027,No,Bad,Low,Philadelphia
717,Populated ,49,225,3615,No,Good ,Low,Buford
718,Unpopulated,47,476,8085,No,Bad,Low,Buford
719,Populated ,38,241,9918,No,Good,Low,Buford
720,Populated ,75,315,2719,No,Good,High,Buford
721,Unpopulated,60,255,8848,No,Good,Low,Buford
722,Populated ,63,596,1703,No,Good,Low,Buford
723,Unpopulated,71,254,9947,No,Bad,High,Buford
724,Populated ,64,174,4919,Yes,Good,Low,Buford
725,Unpopulated,73,547,6754,No,Bad,High,Buford
726,Populated,46,524,3896,yes,Good,Low,Philadelphia
727,Unpopulated,63,164,631,No,Bad,Low,Buford
728,Populated,43,175,3645,No,Bad,Low,Philadelphia
729,Populated ,51,149,5179,No,Good ,Low,Buford
730,Unpopulated,63,227,2516,No,Bad,Low,Buford
731,Populated ,69,63,6807,No,Good,High,Buford
732,Populated ,46,675,8178,No,Good,Low,Buford
733,Unpopulated,70,194,2932,No,Good,High,Buford
734,Populated ,62,520,8144,No,Good,Low,Buford
735,Unpopulated,68,494,2588,No,Bad,Low,Buford
736,Populated ,42,134,739,No,Good,Low,Buford
737,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
738,Populated,80,674,8501,No,Good,High,Philadelphia
739,Unpopulated,59,143,5416,yes,Bad,Low,Buford
740,Populated,33,698,4598,No,Bad,Low,Philadelphia
741,Populated ,80,152,8178,No,Good ,High,Buford
742,Unpopulated,32,145,8296,No,Bad,Low,Buford
743,Populated ,31,465,5759,No,Good,Low,Buford
744,Populated ,68,16,1085,No,Good,Low,Buford
745,Unpopulated,75,543,4713,No,Good,High,Buford
746,Populated ,44,528,5697,No,Good,Low,Buford
747,Unpopulated,73,608,1601,No,Bad,High,Buford
748,Populated ,42,269,545,No,Good,Low,Buford
749,Unpopulated,50,697,2428,No,Bad,Low,Buford
750,Populated,48,63,1878,Yes,Good,Low,Philadelphia
751,Unpopulated,36,450,779,No,Bad,Low,Buford
752,Populated,59,521,7121,yes,Bad,Low,Philadelphia
753,Populated ,80,691,4146,No,Good ,High,Buford
754,Unpopulated,38,352,5413,No,Bad,Low,Buford
755,Populated ,76,306,7996,No,Good,High,Buford
756,Populated ,33,636,6516,No,Good,Low,Buford
757,Unpopulated,31,552,2662,No,Good,Low,Buford
758,Populated ,54,611,4707,No,Good,Low,Buford
759,Unpopulated,43,224,8138,No,Bad,Low,Buford
760,Populated ,36,389,4622,No,Good,Low,Buford
761,Unpopulated,64,671,9158,No,Bad,Low,Buford
762,Populated,34,36,1859,No,Good,Low,Philadelphia
763,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
764,Populated,55,485,667,No,Bad,Low,Philadelphia
765,Populated ,77,627,5985,yes,Good ,High,Buford
766,Unpopulated,41,579,9072,No,Bad,Low,Buford
767,Populated ,74,506,1158,No,Good,High,Buford
768,Populated ,48,557,828,No,Good,Low,Buford
769,Unpopulated,69,185,5532,No,Good,High,Buford
770,Populated ,49,333,6343,No,Good,Low,Buford
771,Unpopulated,34,147,9613,No,Bad,Low,Buford
772,Populated ,42,680,2945,No,Good,Low,Buford
773,Unpopulated,71,72,4847,No,Bad,High,Buford
774,Populated,36,71,1037,No,Good,Low,Philadelphia
775,Unpopulated,54,338,900,No,Bad,Low,Buford
776,Populated,80,90,2282,Yes,Bad,High,Philadelphia
777,Populated ,46,358,340,No,Good ,Low,Buford
778,Unpopulated,36,371,7270,yes,Bad,Low,Buford
779,Populated ,65,236,8885,No,Good,Low,Buford
780,Populated ,68,263,8442,No,Good,Low,Buford
781,Unpopulated,57,61,2372,No,Good,Low,Buford
782,Populated ,57,674,3302,No,Good,Low,Buford
783,Unpopulated,49,559,8583,No,Bad,Low,Buford
784,Populated ,64,260,7887,No,Good,Low,Buford
785,Unpopulated,44,315,8349,No,Bad,Low,Buford
786,Populated,78,267,9813,No,Good,High,Philadelphia
787,Unpopulated,58,57,1342,No,Bad,Low,Buford
788,Populated,79,520,6497,No,Bad,High,Philadelphia
789,Populated ,73,577,9347,Yes,Good ,High,Buford
790,Unpopulated,33,484,7781,No,Bad,Low,Buford
791,Populated ,40,174,7715,yes,Good,Low,Buford
792,Populated ,61,8,6409,No,Good,Low,Buford
793,Unpopulated,41,600,5072,No,Good,Low,Buford
794,Populated ,53,60,3393,No,Good,Low,Buford
795,Unpopulated,44,548,6087,No,Bad,Low,Buford
796,Populated ,70,427,3681,No,Good ,High,Buford
797,Unpopulated,31,515,5233,No,Bad,Low,Buford
798,Populated ,58,565,2099,No,Good,Low,Buford
799,Populated ,68,340,8626,No,Good,Low,Buford
800,Unpopulated,67,210,6387,No,Good,Low,Buford
801,Populated ,35,284,2126,No,Good,Low,Buford
802,Unpopulated,75,98,211,No,Bad,High,Buford
803,Populated ,64,237,9295,No,Good,Low,Buford
804,Unpopulated,37,218,9194,No,Bad,Low,Buford
805,Populated,70,650,6063,No,Good,High,Philadelphia
806,Unpopulated,58,198,615,Yes,Bad,Low,Buford
807,Populated,80,171,7722,No,Bad,High,Philadelphia
808,Populated ,36,324,6365,yes,Good ,Low,Buford
809,Unpopulated,80,387,2526,No,Bad,High,Buford
810,Populated ,62,662,7849,No,Good,Low,Buford
811,Populated ,39,589,5360,No,Good,Low,Buford
812,Unpopulated,53,567,8058,No,Good,Low,Buford
813,Populated ,32,574,37,No,Good,Low,Buford
814,Unpopulated,42,84,3774,No,Bad,Low,Buford
815,Populated ,31,698,5842,No,Good,Low,Buford
816,Unpopulated,57,689,8692,No,Bad,Low,Buford
817,Populated,49,608,4827,No,Good,Low,Philadelphia
818,Unpopulated,38,512,7858,No,Bad,Low,Buford
819,Populated,67,18,23,Yes,Bad,Low,Philadelphia
820,Populated ,30,499,5267,No,Good ,Low,Buford
821,Unpopulated,30,410,6614,yes,Bad,Low,Buford
822,Populated ,57,699,7789,No,Good,Low,Buford
823,Populated ,44,345,9475,No,Good,Low,Buford
824,Unpopulated,33,637,3895,No,Good,Low,Buford
825,Populated ,35,332,6512,No,Good,Low,Buford
826,Unpopulated,33,60,7218,No,Bad,Low,Buford
827,Populated ,50,107,9856,No,Good,Low,Buford
828,Unpopulated,73,359,1346,No,Bad,High,Buford
829,Populated,63,516,751,No,Good,Low,Philadelphia
830,Unpopulated,36,443,7647,No,Bad,Low,Buford
831,Populated,67,594,9833,No,Bad,Low,Philadelphia
832,Populated ,45,620,7898,Yes,Good ,Low,Buford
833,Unpopulated,33,10,5897,No,Bad,Low,Buford
834,Populated ,52,38,5437,yes,Good,Low,Buford
835,Populated ,43,310,1038,No,Good,Low,Buford
836,Unpopulated,42,526,3572,No,Good,Low,Buford
837,Populated ,79,195,3859,No,Good,High,Buford
838,Unpopulated,54,34,8049,No,Bad,Low,Buford
839,Populated ,69,90,8772,No,Good,High,Buford
840,Unpopulated,39,60,3385,No,Bad,Low,Buford
841,Populated,41,552,9992,No,Good,Low,Philadelphia
842,Unpopulated,58,567,1891,No,Bad,Low,Buford
843,Populated,80,87,508,No,Bad,High,Philadelphia
844,Populated ,69,580,280,No,Good ,High,Buford
845,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
846,Populated ,51,223,559,No,Good,Low,Buford
847,Populated ,64,415,9551,yes,Good,Low,Buford
848,Unpopulated,30,148,7248,No,Good,Low,Buford
849,Populated ,36,429,5972,No,Good,Low,Buford
850,Unpopulated,56,64,9202,No,Bad,Low,Buford
851,Populated ,55,30,3894,No,Good,Low,Buford
852,Unpopulated,60,432,2793,No,Bad,Low,Buford
853,Populated,77,205,4113,No,Good,High,Philadelphia
854,Unpopulated,41,486,7861,No,Bad,Low,Buford
855,Populated,66,117,4364,No,Bad,Low,Philadelphia
856,Populated ,58,631,5966,No,Good ,Low,Buford
857,Unpopulated,60,607,5097,No,Bad,Low,Buford
858,Populated ,54,456,5161,Yes,Good,Low,Buford
859,Populated ,49,420,6938,No,Good,Low,Buford
860,Unpopulated,38,188,8417,yes,Good,Low,Buford
861,Populated ,60,679,9374,No,Good,Low,Buford
862,Unpopulated,38,159,737,No,Bad,Low,Buford
863,Populated ,77,311,4343,No,Good,High,Buford
864,Unpopulated,63,43,8312,No,Bad,Low,Buford
865,Populated,55,661,7247,No,Good,Low,Philadelphia
866,Unpopulated,65,348,1437,No,Bad,Low,Buford
867,Populated,64,414,4090,No,Bad,Low,Philadelphia
868,Populated ,33,334,6227,No,Good ,Low,Buford
869,Unpopulated,75,259,3924,No,Bad,High,Buford
870,Populated ,51,426,7409,No,Good,Low,Buford
871,Populated ,34,316,3769,Yes,Good,Low,Buford
872,Unpopulated,31,175,1688,No,Good,Low,Buford
873,Populated ,53,184,1993,yes,Good,Low,Buford
874,Unpopulated,51,641,1414,No,Bad,Low,Buford
875,Populated ,40,11,4643,No,Good,Low,Buford
876,Unpopulated,78,600,2409,No,Bad,High,Buford
877,Populated,62,51,8729,No,Good,Low,Philadelphia
878,Unpopulated,30,187,8174,No,Bad,Low,Buford
879,Populated,75,342,3712,No,Bad,High,Philadelphia
880,Populated ,80,43,693,No,Good ,High,Buford
881,Unpopulated,30,567,6485,No,Bad,Low,Buford
882,Populated ,33,400,9471,No,Good,Low,Buford
883,Populated ,66,425,258,No,Good,Low,Buford
884,Unpopulated,50,430,7878,Yes,Good,Low,Buford
885,Populated ,54,355,6290,No,Good,Low,Buford
886,Unpopulated,36,44,291,yes,Bad,Low,Buford
887,Populated ,37,484,6271,No,Good,Low,Buford
888,Unpopulated,65,286,8617,No,Bad,Low,Buford
889,Populated,65,519,8192,No,Good,Low,Philadelphia
890,Unpopulated,35,664,38,No,Bad,Low,Buford
891,Populated,67,488,10,No,Bad,Low,Philadelphia
892,Populated ,57,639,4535,No,Good ,Low,Buford
893,Unpopulated,56,521,1780,No,Bad,Low,Buford
894,Populated ,30,532,1284,No,Good,Low,Buford
895,Populated ,56,678,5472,No,Good,Low,Buford
896,Unpopulated,80,680,8662,No,Good,High,Buford
897,Populated ,75,115,3812,Yes,Good,High,Buford
898,Unpopulated,76,265,3652,No,Bad,High,Buford
899,Populated ,53,153,4951,yes,Good,Low,Buford
900,Unpopulated,69,364,6825,No,Bad,High,Buford
901,Populated,41,494,2745,No,Good,Low,Philadelphia
902,Unpopulated,53,354,7427,No,Bad,Low,Buford
903,Populated,79,177,4568,No,Bad,High,Philadelphia
904,Populated ,57,452,3814,No,Good ,Low,Buford
905,Unpopulated,69,14,7930,No,Bad,High,Buford
906,Populated ,31,513,9296,No,Good,Low,Buford
907,Populated ,47,637,8700,No,Good,Low,Buford
908,Unpopulated,43,52,5758,No,Good,Low,Buford
909,Populated ,72,686,6182,No,Good,High,Buford
910,Unpopulated,74,377,5324,Yes,Bad,High,Buford
911,Populated ,41,62,9997,No,Good,Low,Buford
912,Unpopulated,68,536,3685,yes,Bad,Low,Buford
913,Populated,48,198,6681,No,Good,Low,Philadelphia
914,Unpopulated,37,244,7702,No,Bad,Low,Buford
915,Populated,36,271,1027,No,Bad,Low,Philadelphia
916,Populated ,49,225,3615,No,Good ,Low,Buford
917,Unpopulated,47,476,8085,No,Bad,Low,Buford
918,Populated ,38,241,9918,No,Good,Low,Buford
919,Populated ,75,315,2719,No,Good,High,Buford
920,Unpopulated,60,255,8848,No,Good,Low,Buford
921,Populated ,63,596,1703,No,Good,Low,Buford
922,Unpopulated,71,254,9947,No,Bad,High,Buford
923,Populated ,64,174,4919,Yes,Good,Low,Buford
924,Unpopulated,73,547,6754,No,Bad,High,Buford
925,Populated,46,524,3896,yes,Good,Low,Philadelphia
926,Unpopulated,63,164,631,No,Bad,Low,Buford
927,Populated,43,175,3645,No,Bad,Low,Philadelphia
928,Populated ,51,149,5179,No,Good ,Low,Buford
929,Unpopulated,63,227,2516,No,Bad,Low,Buford
930,Populated ,69,63,6807,No,Good,High,Buford
931,Populated ,46,675,8178,No,Good,Low,Buford
932,Unpopulated,70,194,2932,No,Good,High,Buford
933,Populated ,62,520,8144,No,Good,Low,Buford
934,Unpopulated,68,494,2588,No,Bad,Low,Buford
935,Populated ,42,134,739,No,Good,Low,Buford
936,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
937,Populated,80,674,8501,No,Good,High,Philadelphia
938,Unpopulated,59,143,5416,yes,Bad,Low,Buford
939,Populated,33,698,4598,No,Bad,Low,Philadelphia
940,Populated ,80,152,8178,No,Good ,High,Buford
941,Unpopulated,32,145,8296,No,Bad,Low,Buford
942,Populated ,31,465,5759,No,Good,Low,Buford
943,Populated ,68,16,1085,No,Good,Low,Buford
944,Unpopulated,75,543,4713,No,Good,High,Buford
945,Populated ,44,528,5697,No,Good,Low,Buford
946,Unpopulated,73,608,1601,No,Bad,High,Buford
947,Populated ,42,269,545,No,Good,Low,Buford
948,Unpopulated,50,697,2428,No,Bad,Low,Buford
949,Populated,48,63,1878,Yes,Good,Low,Philadelphia
950,Unpopulated,36,450,779,No,Bad,Low,Buford
951,Populated,59,521,7121,yes,Bad,Low,Philadelphia
952,Populated ,80,691,4146,No,Good ,High,Buford
953,Unpopulated,38,352,5413,No,Bad,Low,Buford
954,Populated ,76,306,7996,No,Good,High,Buford
955,Populated ,33,636,6516,No,Good,Low,Buford
956,Unpopulated,31,552,2662,No,Good,Low,Buford
957,Populated ,54,611,4707,No,Good,Low,Buford
958,Unpopulated,43,224,8138,No,Bad,Low,Buford
959,Populated ,36,389,4622,No,Good,Low,Buford
960,Unpopulated,64,671,9158,No,Bad,Low,Buford
961,Populated,34,36,1859,No,Good,Low,Philadelphia
962,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
963,Populated,55,485,667,No,Bad,Low,Philadelphia
964,Populated ,77,627,5985,yes,Good ,High,Buford
965,Unpopulated,41,579,9072,No,Bad,Low,Buford
966,Populated ,74,506,1158,No,Good,High,Buford
967,Populated ,48,557,828,No,Good,Low,Buford
968,Unpopulated,69,185,5532,No,Good,High,Buford
969,Populated ,49,333,6343,No,Good,Low,Buford
970,Unpopulated,34,147,9613,No,Bad,Low,Buford
971,Populated ,42,680,2945,No,Good,Low,Buford
972,Unpopulated,71,72,4847,No,Bad,High,Buford
973,Populated,36,71,1037,No,Good,Low,Philadelphia
974,Unpopulated,54,338,900,No,Bad,Low,Buford
975,Populated,80,90,2282,Yes,Bad,High,Philadelphia
976,Populated ,46,358,340,No,Good ,Low,Buford
977,Unpopulated,36,371,7270,yes,Bad,Low,Buford
978,Populated ,65,236,8885,No,Good,Low,Buford
979,Populated ,68,263,8442,No,Good,Low,Buford
980,Unpopulated,57,61,2372,No,Good,Low,Buford
981,Populated ,57,674,3302,No,Good,Low,Buford
982,Unpopulated,49,559,8583,No,Bad,Low,Buford
983,Populated ,64,260,7887,No,Good,Low,Buford
984,Unpopulated,44,315,8349,No,Bad,Low,Buford
985,Populated,78,267,9813,No,Good,High,Philadelphia
986,Unpopulated,58,57,1342,No,Bad,Low,Buford
987,Populated,79,520,6497,No,Bad,High,Philadelphia
988,Populated ,73,577,9347,Yes,Good ,High,Buford
989,Unpopulated,33,484,7781,No,Bad,Low,Buford
990,Populated ,40,174,7715,yes,Good,Low,Buford
991,Populated ,61,8,6409,No,Good,Low,Buford
992,Unpopulated,41,600,5072,No,Good,Low,Buford
993,Populated ,53,60,3393,No,Good,Low,Buford
994,Unpopulated,44,548,6087,No,Bad,Low,Buford
995,Populated ,70,427,3681,No,Good ,High,Buford
996,Unpopulated,31,515,5233,No,Bad,Low,Buford
997,Populated ,58,565,2099,No,Good,Low,Buford
998,Populated ,68,340,8626,No,Good,Low,Buford
999,Unpopulated,67,210,6387,No,Good,Low,Buford
1000,Populated ,35,284,2126,No,Good,Low,Buford
1001,Unpopulated,75,98,211,No,Bad,High,Buford
1002,Populated ,64,237,9295,No,Good,Low,Buford
1003,Unpopulated,37,218,9194,No,Bad,Low,Buford
1004,Populated,70,650,6063,No,Good,High,Philadelphia
1005,Unpopulated,58,198,615,Yes,Bad,Low,Buford
1006,Populated,80,171,7722,No,Bad,High,Philadelphia
1007,Populated ,36,324,6365,yes,Good ,Low,Buford
1008,Unpopulated,80,387,2526,No,Bad,High,Buford
1009,Populated ,62,662,7849,No,Good,Low,Buford
